,date,City,fips,cases,deaths,Latitude,Longitude
97,2020-02-16,California,6,7,0,37.2718745,-119.2704153
98,2020-02-16,Illinois,17,2,0,39.739318,-89.504139
99,2020-02-16,Massachusetts,25,1,0,42.062939799999995,-71.718067
100,2020-02-16,Texas,48,2,0,31.1693363,-100.0768425
101,2020-02-16,Wisconsin,55,1,0,44.7862968,-89.82670490000001
102,2020-02-17,Arizona,4,1,0,34.1682185,-111.930907
103,2020-02-17,California,6,7,0,37.2718745,-119.2704153
104,2020-02-17,Illinois,17,2,0,39.739318,-89.504139
105,2020-02-17,Massachusetts,25,1,0,42.062939799999995,-71.718067
106,2020-02-17,Nebraska,31,10,0,41.5008195,-99.680902
107,2020-02-17,Texas,48,2,0,31.1693363,-100.0768425
108,2020-02-17,Wisconsin,55,1,0,44.7862968,-89.82670490000001
109,2020-02-18,Arizona,4,1,0,34.1682185,-111.930907
110,2020-02-18,California,6,7,0,37.2718745,-119.2704153
111,2020-02-18,Illinois,17,2,0,39.739318,-89.504139
112,2020-02-18,Massachusetts,25,1,0,42.062939799999995,-71.718067
113,2020-02-18,Nebraska,31,10,0,41.5008195,-99.680902
114,2020-02-18,Texas,48,2,0,31.1693363,-100.0768425
115,2020-02-18,Wisconsin,55,1,0,44.7862968,-89.82670490000001
116,2020-02-19,Arizona,4,1,0,34.1682185,-111.930907
117,2020-02-19,California,6,7,0,37.2718745,-119.2704153
118,2020-02-19,Illinois,17,2,0,39.739318,-89.504139
119,2020-02-19,Massachusetts,25,1,0,42.062939799999995,-71.718067
120,2020-02-19,Nebraska,31,10,0,41.5008195,-99.680902
121,2020-02-19,Texas,48,2,0,31.1693363,-100.0768425
122,2020-02-19,Wisconsin,55,1,0,44.7862968,-89.82670490000001
123,2020-02-20,Arizona,4,1,0,34.1682185,-111.930907
124,2020-02-20,California,6,8,0,37.2718745,-119.2704153
125,2020-02-20,Illinois,17,2,0,39.739318,-89.504139
126,2020-02-20,Massachusetts,25,1,0,42.062939799999995,-71.718067
127,2020-02-20,Nebraska,31,11,0,41.5008195,-99.680902
128,2020-02-20,Texas,48,2,0,31.1693363,-100.0768425
129,2020-02-20,Wisconsin,55,1,0,44.7862968,-89.82670490000001
130,2020-02-21,Arizona,4,1,0,34.1682185,-111.930907
131,2020-02-21,California,6,9,0,37.2718745,-119.2704153
132,2020-02-21,Illinois,17,2,0,39.739318,-89.504139
133,2020-02-21,Massachusetts,25,1,0,42.062939799999995,-71.718067
134,2020-02-21,Nebraska,31,11,0,41.5008195,-99.680902
135,2020-02-21,Texas,48,4,0,31.1693363,-100.0768425
136,2020-02-21,Wisconsin,55,1,0,44.7862968,-89.82670490000001
137,2020-02-22,Arizona,4,1,0,34.1682185,-111.930907
138,2020-02-22,California,6,9,0,37.2718745,-119.2704153
139,2020-02-22,Illinois,17,2,0,39.739318,-89.504139
140,2020-02-22,Massachusetts,25,1,0,42.062939799999995,-71.718067
141,2020-02-22,Nebraska,31,11,0,41.5008195,-99.680902
142,2020-02-22,Texas,48,4,0,31.1693363,-100.0768425
143,2020-02-22,Wisconsin,55,1,0,44.7862968,-89.82670490000001
144,2020-02-23,Arizona,4,1,0,34.1682185,-111.930907
145,2020-02-23,California,6,9,0,37.2718745,-119.2704153
146,2020-02-23,Illinois,17,2,0,39.739318,-89.504139
147,2020-02-23,Massachusetts,25,1,0,42.062939799999995,-71.718067
148,2020-02-23,Nebraska,31,11,0,41.5008195,-99.680902
149,2020-02-23,Texas,48,4,0,31.1693363,-100.0768425
150,2020-02-23,Wisconsin,55,1,0,44.7862968,-89.82670490000001
151,2020-02-24,Arizona,4,1,0,34.1682185,-111.930907
152,2020-02-24,California,6,11,0,37.2718745,-119.2704153
153,2020-02-24,Illinois,17,2,0,39.739318,-89.504139
154,2020-02-24,Massachusetts,25,1,0,42.062939799999995,-71.718067
155,2020-02-24,Nebraska,31,12,0,41.5008195,-99.680902
156,2020-02-24,Texas,48,10,0,31.1693363,-100.0768425
157,2020-02-24,Wisconsin,55,1,0,44.7862968,-89.82670490000001
158,2020-02-25,Arizona,4,1,0,34.1682185,-111.930907
159,2020-02-25,California,6,11,0,37.2718745,-119.2704153
160,2020-02-25,Illinois,17,2,0,39.739318,-89.504139
161,2020-02-25,Massachusetts,25,1,0,42.062939799999995,-71.718067
162,2020-02-25,Nebraska,31,13,0,41.5008195,-99.680902
163,2020-02-25,Texas,48,10,0,31.1693363,-100.0768425
164,2020-02-25,Utah,49,1,0,39.4997605,-111.547028
165,2020-02-25,Wisconsin,55,1,0,44.7862968,-89.82670490000001
166,2020-02-26,Arizona,4,1,0,34.1682185,-111.930907
167,2020-02-26,California,6,26,0,37.2718745,-119.2704153
168,2020-02-26,Illinois,17,2,0,39.739318,-89.504139
169,2020-02-26,Massachusetts,25,1,0,42.062939799999995,-71.718067
170,2020-02-26,Nebraska,31,13,0,41.5008195,-99.680902
171,2020-02-26,Texas,48,10,0,31.1693363,-100.0768425
172,2020-02-26,Utah,49,1,0,39.4997605,-111.547028
173,2020-02-26,Wisconsin,55,1,0,44.7862968,-89.82670490000001
174,2020-02-27,Arizona,4,1,0,34.1682185,-111.930907
175,2020-02-27,California,6,26,0,37.2718745,-119.2704153
176,2020-02-27,Illinois,17,2,0,39.739318,-89.504139
177,2020-02-27,Massachusetts,25,1,0,42.062939799999995,-71.718067
178,2020-02-27,Nebraska,31,13,0,41.5008195,-99.680902
179,2020-02-27,Texas,48,10,0,31.1693363,-100.0768425
180,2020-02-27,Utah,49,1,0,39.4997605,-111.547028
181,2020-02-27,Wisconsin,55,1,0,44.7862968,-89.82670490000001
182,2020-02-28,Arizona,4,1,0,34.1682185,-111.930907
183,2020-02-28,California,6,27,0,37.2718745,-119.2704153
184,2020-02-28,Illinois,17,2,0,39.739318,-89.504139
185,2020-02-28,Massachusetts,25,1,0,42.062939799999995,-71.718067
186,2020-02-28,Nebraska,31,13,0,41.5008195,-99.680902
187,2020-02-28,Oregon,41,1,0,44.1419049,-120.5380993
188,2020-02-28,Texas,48,11,0,31.1693363,-100.0768425
189,2020-02-28,Utah,49,1,0,39.4997605,-111.547028
190,2020-02-28,Wisconsin,55,1,0,44.7862968,-89.82670490000001
191,2020-02-29,Arizona,4,1,0,34.1682185,-111.930907
192,2020-02-29,California,6,28,0,37.2718745,-119.2704153
193,2020-02-29,Illinois,17,3,0,39.739318,-89.504139
194,2020-02-29,Massachusetts,25,1,0,42.062939799999995,-71.718067
195,2020-02-29,Nebraska,31,13,0,41.5008195,-99.680902
196,2020-02-29,Oregon,41,1,0,44.1419049,-120.5380993
197,2020-02-29,Texas,48,11,0,31.1693363,-100.0768425
198,2020-02-29,Utah,49,1,0,39.4997605,-111.547028
199,2020-02-29,Wisconsin,55,1,0,44.7862968,-89.82670490000001
200,2020-03-01,Arizona,4,1,0,34.1682185,-111.930907
201,2020-03-01,California,6,33,0,37.2718745,-119.2704153
202,2020-03-01,Florida,12,2,0,27.9757279,-83.8330166
203,2020-03-01,Illinois,17,3,0,39.739318,-89.504139
204,2020-03-01,Massachusetts,25,1,0,42.062939799999995,-71.718067
205,2020-03-01,Nebraska,31,13,0,41.5008195,-99.680902
206,2020-03-01,New York,36,1,0,40.7056258,-73.97968
207,2020-03-01,Oregon,41,2,0,44.1419049,-120.5380993
208,2020-03-01,Rhode Island,44,2,0,41.5827282,-71.5064508
209,2020-03-01,Texas,48,11,0,31.1693363,-100.0768425
210,2020-03-01,Utah,49,1,0,39.4997605,-111.547028
211,2020-03-01,Wisconsin,55,1,0,44.7862968,-89.82670490000001
212,2020-03-02,Arizona,4,1,0,34.1682185,-111.930907
213,2020-03-02,California,6,38,0,37.2718745,-119.2704153
214,2020-03-02,Florida,12,2,0,27.9757279,-83.8330166
215,2020-03-02,Georgia,13,2,0,32.6781248,-83.22297569999999
216,2020-03-02,Illinois,17,4,0,39.739318,-89.504139
217,2020-03-02,Massachusetts,25,2,0,42.062939799999995,-71.718067
218,2020-03-02,Nebraska,31,13,0,41.5008195,-99.680902
219,2020-03-02,New Hampshire,33,1,0,44.00123060000001,-71.57992309999999
220,2020-03-02,New York,36,1,0,40.7056258,-73.97968
221,2020-03-02,Oregon,41,2,0,44.1419049,-120.5380993
222,2020-03-02,Rhode Island,44,2,0,41.5827282,-71.5064508
223,2020-03-02,Texas,48,11,0,31.1693363,-100.0768425
224,2020-03-02,Utah,49,1,0,39.4997605,-111.547028
225,2020-03-02,Wisconsin,55,1,0,44.7862968,-89.82670490000001
226,2020-03-03,Arizona,4,2,0,34.1682185,-111.930907
227,2020-03-03,California,6,45,0,37.2718745,-119.2704153
228,2020-03-03,Florida,12,3,0,27.9757279,-83.8330166
229,2020-03-03,Georgia,13,2,0,32.6781248,-83.22297569999999
230,2020-03-03,Illinois,17,4,0,39.739318,-89.504139
231,2020-03-03,Massachusetts,25,2,0,42.062939799999995,-71.718067
232,2020-03-03,Nebraska,31,13,0,41.5008195,-99.680902
233,2020-03-03,New Hampshire,33,2,0,44.00123060000001,-71.57992309999999
234,2020-03-03,New York,36,2,0,40.7056258,-73.97968
235,2020-03-03,North Carolina,37,1,0,35.2145629,-79.8912675
236,2020-03-03,Oregon,41,2,0,44.1419049,-120.5380993
237,2020-03-03,Rhode Island,44,2,0,41.5827282,-71.5064508
238,2020-03-03,Texas,48,11,0,31.1693363,-100.0768425
239,2020-03-03,Utah,49,1,0,39.4997605,-111.547028
240,2020-03-03,Wisconsin,55,1,0,44.7862968,-89.82670490000001
241,2020-03-04,Arizona,4,2,0,34.1682185,-111.930907
242,2020-03-04,California,6,55,1,37.2718745,-119.2704153
243,2020-03-04,Florida,12,3,0,27.9757279,-83.8330166
244,2020-03-04,Georgia,13,2,0,32.6781248,-83.22297569999999
245,2020-03-04,Illinois,17,4,0,39.739318,-89.504139
246,2020-03-04,Massachusetts,25,2,0,42.062939799999995,-71.718067
247,2020-03-04,Nebraska,31,13,0,41.5008195,-99.680902
248,2020-03-04,New Hampshire,33,2,0,44.00123060000001,-71.57992309999999
249,2020-03-04,New Jersey,34,1,0,40.1430058,-74.7311156
250,2020-03-04,New York,36,11,0,40.7056258,-73.97968
251,2020-03-04,North Carolina,37,1,0,35.2145629,-79.8912675
252,2020-03-04,Oregon,41,2,0,44.1419049,-120.5380993
253,2020-03-04,Rhode Island,44,2,0,41.5827282,-71.5064508
254,2020-03-04,Texas,48,12,0,31.1693363,-100.0768425
255,2020-03-04,Utah,49,1,0,39.4997605,-111.547028
256,2020-03-04,Wisconsin,55,1,0,44.7862968,-89.82670490000001
257,2020-03-05,Arizona,4,2,0,34.1682185,-111.930907
258,2020-03-05,California,6,67,1,37.2718745,-119.2704153
259,2020-03-05,Colorado,8,2,0,38.9979339,-105.55056699999999
260,2020-03-05,Florida,12,4,0,27.9757279,-83.8330166
261,2020-03-05,Georgia,13,2,0,32.6781248,-83.22297569999999
262,2020-03-05,Illinois,17,5,0,39.739318,-89.504139
263,2020-03-05,Maryland,24,3,0,38.806352399999994,-77.2684162
264,2020-03-05,Massachusetts,25,3,0,42.062939799999995,-71.718067
265,2020-03-05,Nebraska,31,13,0,41.5008195,-99.680902
266,2020-03-05,Nevada,32,2,0,38.502032,-117.0230604
267,2020-03-05,New Hampshire,33,2,0,44.00123060000001,-71.57992309999999
268,2020-03-05,New Jersey,34,2,0,40.1430058,-74.7311156
269,2020-03-05,New York,36,22,0,40.7056258,-73.97968
270,2020-03-05,North Carolina,37,1,0,35.2145629,-79.8912675
271,2020-03-05,Oregon,41,2,0,44.1419049,-120.5380993
272,2020-03-05,Rhode Island,44,2,0,41.5827282,-71.5064508
273,2020-03-05,Tennessee,47,1,0,35.830521000000005,-85.97859890000001
274,2020-03-05,Texas,48,16,0,31.1693363,-100.0768425
275,2020-03-05,Utah,49,1,0,39.4997605,-111.547028
276,2020-03-05,Wisconsin,55,1,0,44.7862968,-89.82670490000001
277,2020-03-06,Arizona,4,3,0,34.1682185,-111.930907
278,2020-03-06,California,6,81,1,37.2718745,-119.2704153
279,2020-03-06,Colorado,8,8,0,38.9979339,-105.55056699999999
280,2020-03-06,Florida,12,7,2,27.9757279,-83.8330166
281,2020-03-06,Georgia,13,3,0,32.6781248,-83.22297569999999
282,2020-03-06,Hawaii,15,1,0,20.46,-157.505
283,2020-03-06,Illinois,17,6,0,39.739318,-89.504139
284,2020-03-06,Indiana,18,1,0,39.7662195,-86.441277
285,2020-03-06,Kentucky,21,1,0,37.8222935,-85.76823990000001
286,2020-03-06,Maryland,24,3,0,38.806352399999994,-77.2684162
287,2020-03-06,Massachusetts,25,8,0,42.062939799999995,-71.718067
288,2020-03-06,Minnesota,27,1,0,46.4418595,-93.3655146
